Data,IBC-Br
2008.01,"121,86"
2008.02,"121,91"
2008.03,"128,99"
2008.04,"129,48"
2008.05,"128,92"
2008.06,"130,59"
2008.07,"136,53"
2008.08,"133,87"
2008.09,"132,6"
2008.10,"132,8"
2008.11,"124,58"
2008.12,"118,9"
2009.01,"115,2"
2009.02,"115,26"
2009.03,"127,81"
2009.04,"123,09"
2009.05,"124,41"
2009.06,"125,61"
2009.07,"131,44"
2009.08,"130,7"
2009.09,"129,81"
2009.10,"132,48"
2009.11,"129,62"
2009.12,"129,23"
2010.01,"125,81"
2010.02,"127,61"
2010.03,"143,44"
2010.04,"136,87"
2010.05,"136,52"
2010.06,"136,09"
2010.07,"141,64"
2010.08,"141,55"
2010.09,"139,46"
2010.10,"139,33"
2010.11,"139,68"
2010.12,"136,69"
2011.01,"132,66"
2011.02,"136,18"
2011.03,"144,93"
2011.04,"139,89"
2011.05,"143,23"
2011.06,"141,75"
2011.07,"145,19"
2011.08,"147,51"
2011.09,"142,3"
2011.10,"142,02"
2011.11,"141,87"
2011.12,"139,23"
2012.01,"133,34"
2012.02,"135,35"
2012.03,"146,35"
2012.04,"139,85"
2012.05,"144,56"
2012.06,"142,28"
2012.07,"147,46"
2012.08,"149,91"
2012.09,"141,6"
2012.10,"147,71"
2012.11,"144,15"
2012.12,"139,52"
2013.01,"139,32"
2013.02,"136,14"
2013.03,"148,01"
2013.04,"149,79"
2013.05,"147,03"
2013.06,"144,87"
2013.07,"152,13"
2013.08,"151,81"
2013.09,"147,27"
2013.10,"151,9"
2013.11,"147,79"
2013.12,"145,77"
2014.01,"142,72"
2014.02,"143,53"
2014.03,"149,03"
2014.04,"147,69"
2014.05,"147,14"
2014.06,"140,88"
2014.07,"149,85"
2014.08,"148,27"
2014.09,"148,12"
2014.10,"149,7"
2014.11,"144,92"
2014.12,"145,48"
2015.01,"138,79"
2015.02,"136,62"
2015.03,"149,45"
2015.04,"142,48"
2015.05,"139,85"
2015.06,"138,52"
2015.07,"143,14"
2015.08,"140,82"
2015.09,"138,07"
2015.10,"140,19"
2015.11,"136,06"
2015.12,"136,58"
2016.01,"128,51"
2016.02,"131,02"
2016.03,"140,37"
2016.04,"136,07"
2016.05,"133,53"
2016.06,"135,31"
2016.07,"136,79"
2016.08,"138,15"
2016.09,"133,91"
2016.10,"132,8"
2016.11,"132,45"
2016.12,"133,48"
2017.01,"128,75"
2017.02,"129,58"
2017.03,"141,97"
2017.04,"133,94"
2017.05,"136,08"
2017.06,"134,99"
2017.07,"138,5"
2017.08,"140,18"
2017.09,"134,9"
2017.10,"136,17"
2017.11,"135,21"
2017.12,"135,99"
2018.01,"132,29"
2018.02,"130,09"
2018.03,"141,66"
2018.04,"139,24"
2018.05,"132,47"
2018.06,"137,05"
2018.07,"141,12"
2018.08,"143,45"
2018.09,"135,87"
2018.10,"139,94"
2018.11,"137,8"
2018.12,"136,52"
2019.01,"133,74"
2019.02,"134,07"
2019.03,"139,14"
2019.04,"139,81"
2019.05,"139,54"
2019.06,"135,24"
2019.07,"143,21"
2019.08,"142,01"
2019.09,"138,43"
2019.10,"143,08"
2019.11,"139,07"
2019.12,"137,63"
2020.01,"134,04"
2020.02,"134,48"
2020.03,"136,2"
2020.04,"118,69"
2020.05,"119,72"
2020.06,"126,01"
2020.07,"135,92"
2020.08,"135,63"
2020.09,"137,04"
2020.10,"139,77"
2020.11,"138,11"
2020.12,"139,27"
2021.01,"131,16"
2021.02,"134,17"
2021.03,"144,54"
2021.04,"139,1"
2021.05,"137,49"
2021.06,"137,69"
2021.07,"142,9"
2021.08,"141,86"
2021.09,"138,69"
2021.10,"137,94"
2021.11,"139,69"
2021.12,"141,62"
2022.01,"131,63"
2022.02,"136,81"
2022.03,"149,7"
2022.04,"143,35"
2022.05,"142,78"
2022.06,142
2022.07,"148,92"
2022.08,"149,53"
2022.09,"144,58"
2022.10,"142,92"
2022.11,"141,26"
2022.12,"142,61"
2023.01,"136,16"
2023.02,"141,12"
2023.03,"158,53"
2023.04,"148,9"
2023.05,"146,98"
2023.06,"145,79"
2023.07,"150,47"
2023.08,"151,64"
2023.09,"145,38"
2023.10,"145,41"
2023.11,"144,77"
2023.12,"144,72"
2024.01,"141,67"
2024.02,"146,06"
2024.03,"156,81"
2024.04,"109,46"
2024.05,"104,85"
2024.06,"105,94"
2024.07,"111,75"
2024.08,"110,25"
2024.09,"107,31"
2024.10,"109,5"
2024.11,"105,76"
2024.12,"104,44"
2025.01,"103,05"
2025.02,"106,61"